lon,lat,bu_ac
-97.146787,41.250040000000006,200.2104
-97.14681999999999,41.250039,203.9846
-97.146854,41.250037,202.0182
-97.146888,41.250037,203.8336
-97.146922,41.250035,197.9372
-97.146956,41.250034,185.2506
-97.14699,41.250032,163.9717
-97.147024,41.250029999999995,135.5428
-97.14705699999999,41.250027,129.8495
-97.147091,41.250023,128.3291
-97.147125,41.250019,147.4177
-97.147159,41.250015000000005,175.6122
-97.147193,41.250009999999996,170.6893
-97.147227,41.250007000000004,160.2611
-97.14726,41.250005,148.9288
-97.14729399999999,41.250004,160.112
-97.147328,41.250002,172.2292
-97.147362,41.25,170.4183
-97.147397,41.25,175.7414
-97.14743100000001,41.249999,176.544
-97.14746600000001,41.249996,185.6189
-97.1475,41.249995,179.9286
-97.147533,41.249994,169.3265
-97.147566,41.249992999999996,196.0712
-97.147599,41.249990999999994,182.7302
-97.147633,41.249990000000004,186.4962
-97.147667,41.249989,194.1508
-97.147702,41.249989,213.851
-97.147735,41.249989,175.8975
-97.147768,41.249989,203.9434
-97.147802,41.249989,174.2688
-97.147836,41.249990000000004,55.9563
-97.14585100000001,41.250204,174.0996
-97.145853,41.250234000000006,176.8019
-97.145854,41.250264,189.68
-97.145854,41.250295,177.8714
-97.145854,41.250327,168.9493
-97.145854,41.250361,163.1732
-97.14585500000001,41.250393,164.0122
-97.14585799999999,41.250426000000004,172.2768
-97.14585699999999,41.250458,173.828
-97.14585799999999,41.250491,193.6066
-97.14586,41.250524,186.3566
-97.14586,41.250553000000004,192.0597
-97.14586,41.250583,230.6076
-97.145861,41.250613,226.1172
-97.145861,41.250643,223.9518
-97.145861,41.250673,226.7101
-97.145862,41.250704,224.2046
-97.145861,41.250735,220.0808
-97.145862,41.250764000000004,224.6149
-97.145862,41.250795000000004,206.2922
-97.145862,41.250825,187.9002
-97.14586,41.250852,218.64700000000002
-97.145859,41.250882,196.9881
-97.145861,41.250913,178.9106
-97.14586,41.250944,168.0647
-97.145863,41.250974,177.2601
-97.145863,41.251005,176.5226
-97.145864,41.251034999999995,178.7416
-97.145865,41.251065999999994,169.7074
-97.145864,41.251095,178.4275
-97.145864,41.251125,166.87400000000002
-97.145865,41.251156,178.8829
-97.145864,41.251186,168.0017
-97.145864,41.251217,178.5405
-97.145865,41.251247,204.7488
-97.145864,41.251277,173.1655
-97.14586700000001,41.251305,169.6898
-97.14587,41.251333,202.4704
-97.14586800000001,41.251364,177.3058
-97.145866,41.251395,186.7768
-97.145866,41.251425,190.8464
-97.145866,41.251456,207.968
-97.14586700000001,41.251486,209.6822
-97.14586800000001,41.251517,197.3209
-97.14586800000001,41.251546999999995,195.6602
-97.14586800000001,41.251578,185.9187
-97.14586899999999,41.251608000000004,221.1195
-97.14587,41.251639000000004,213.4288
-97.14587,41.251668,186.5115
-97.14587,41.251698,183.3861
-97.14587,41.251728,186.877
-97.14587,41.251758,204.8283
-97.14587,41.251788,210.0271
-97.145871,41.251818,185.8323
-97.14587399999999,41.25185,170.3862
